ESTACION,PREC,TMAX,TMIN,LAT,LON
TERRERILLOS,0.4,32.7,22.3,21.036944,-98.139167
LOS HULES,0.0,32.6,22.9,21.160556,-98.274167
PLATON SANCHEZ,1.8,32.8,23.2,21.293611,-98.335278
TEMPOAL,0.0,34.8,23.6,21.517222,-98.383333
EL HIGO,0.0,36.3,24.4,21.777222,-98.443889
EL OLIVO,0.0,34.0,23.9,21.840278,-98.5125
PANUCO,0.0,34.4,24.0,22.053333,-98.172778
CHICAYAN,0.0,33.4,24.1,21.6442857131,-98.1082325827
HUAYACOCOTLA,3.0,19.0,10.0,20.533611,-98.4875
TEXCATEPEC,13.0,,,20.584722,-98.363889
CHALAHUITE,0.0,,,21.068333,-97.545
SOMBRERETE,0.099,32.0,22.0,20.883333,-97.783333
ALAMO TEMAPACHE,0.0,30.5,22.5,20.929444,-97.679444
TUXPAM,7.3,33.8,22.8,20.955556,-97.4
PAHUATLÁN DE VALLE*,6.8,26.3,16.7,20.00001869,-98.149972222
TLAXCALANTONGO*,76.9,29.8,19.4,20.315069444,-97.000010262
XICOTEPEC DE J.,47.8,29.0,17.0,20.283333,-97.95
VILLA AVILA CAMACHO,79.0,35.0,22.0,20.38765434,-97.88018264
LA CEIBA*,62.6,,,20.391667,-97.879167
APAPANTILLA,80.5,33.0,20.0,20.383333,-97.85
V. CARRANZA,4.0,33.0,20.0,20.5079997113,-97.6646471899
PUENTE PALOMAS*,6.1,,,20.445833,-97.702778
POZA RICA,3.3,30.0,22.0,20.540833,-97.478333
CHIGNAHUAPAN,3.0,17.0,7.0,19.839444,-98.032778
TETELA DE OCAMPO,4.2,24.0,13.0,19.794722,-97.765278
ZARAGOZA,2.0,20.0,6.0,19.768889,-97.555278
AHUAZOTEPEC,9.5,18.5,10.5,20.040556,-98.160833
HUAUCHINANGO,22.0,24.0,15.0,20.183333,-98.05
UNIVERSIDAD DE LA SIERRA,23.1,23.0,14.0,20.244722,-98.064722
TEPANGO DE RODRIGUEZ,24.0,29.0,12.0,20.004444,-97.7925
PATLA,51.0,,,20.248889,-97.876667
TEPEXIC,42.3,,,20.219444,-97.958333
NECAXA,8.7,,,20.2170018267,-98.0008401216
LA SOLEDAD,10.8,,,19.958611,-97.446389
OYAMELES,1.0,17.0,6.0,19.6975,-97.533611
ZACAPOAXTLA,1.3,18.0,6.0,19.859722,-97.583333
CUETZALAN DEL P,19.2,24.0,16.0,20.033333,-97.515556
RANCHO NUEVO,12.0,31.0,20.0,20.122778,-97.409444
EL ESPINAL,16.8,,,20.2575,-97.399167
PAPANTLA,3.0,31.0,21.0,20.45,-97.316667
TECOLUTLA AC,33.0,,,20.475556,-97.008611
BUENOS AIRES,13.2,,,20.613056,-97.783611
SONTALACO,11.3,,,19.952778,-97.486389
ALCHICHICA,0.099,23.0,9.0,19.45,-97.418056
